DEPT,ECGR,ATRX,ATRT,NPHI,CAL1,HDAR,HROM,DTSM,DTCO
4748.5,38.7992,98.6687,16.1891,13.96,6.0589,6.3164,2.7384,,55.7347
4749.0,39.3703,60.7493,15.6818,13.11,6.0681,6.3253,2.7769,,56.8698
4749.5,38.3492,40.1176,13.89,12.2,6.1033,6.3243,2.7391,,54.4299
4750.0,40.0733,82.551,16.1912,14.47,6.0671,6.3253,2.753,,51.6429
4750.5,36.656,172.0007,17.7572,16.51,6.1098,6.3253,2.7794,104.3155,56.7389
4751.0,37.5644,156.561,17.7402,16.98,6.1009,6.3235,2.7425,111.1868,56.9306
4751.5,39.0596,122.1911,16.6779,17.76,6.1167,6.3218,2.7607,111.9446,56.9514
4752.0,41.3254,128.2831,14.303,19.74,6.1405,6.3361,2.7125,113.3711,61.041
4752.5,43.7434,196.9512,13.1011,19.58,6.1039,6.2824,2.7243,114.3846,61.0303
4753.0,42.7712,122.6712,12.538,19.42,6.1071,6.2908,2.7501,113.3827,61.4645
4753.5,42.6848,51.7979,14.083,20.25,6.1068,6.2895,2.7581,113.3969,62.4011
4754.0,42.6503,28.7583,11.9179,21.33,6.1417,6.2877,2.7514,113.5789,62.6172
4754.5,45.7007,19.9336,11.7447,20.92,6.1425,6.2874,2.6922,113.8215,64.4358
4755.0,45.0667,9.6671,6.0335,21.5,6.1316,6.2941,2.7023,114.8987,65.0466
4755.5,40.8672,8.4465,4.5107,21.58,6.1068,6.2823,2.7383,113.4472,62.6137
4756.0,38.0959,9.4573,3.7692,23.96,6.098,6.2824,2.7515,112.414,59.0366
4756.5,44.2527,9.7232,2.4967,27.66,6.146,6.2908,2.7219,120.8339,63.204
4757.0,84.8154,3.5795,0.9182,36.43,6.1454,6.7215,2.2957,176.0692,89.051
4757.5,93.803,1.2617,0.5236,35.33,6.5129,7.7666,2.5676,219.2466,101.0408
4758.0,91.5064,0.9156,0.5499,34.33,6.8592,6.7861,2.6175,209.3391,106.1483
4758.5,95.0352,0.8198,0.7188,39.58,6.4379,7.9477,2.0533,186.6164,95.0419
4759.0,96.0186,0.7925,0.7771,40.01,6.8489,6.7699,2.7081,221.9217,111.5382
4759.5,98.3745,0.7874,0.7751,42.28,7.0421,6.7744,2.4464,192.2808,98.6756
4760.0,95.5431,0.7707,0.7683,38.45,6.306,6.6229,2.4253,185.7254,101.9137
4760.5,109.1947,0.7479,0.7564,40.57,6.334,8.3816,2.3516,192.891,99.9537
4761.0,101.5233,0.8111,0.8085,44.21,6.6286,7.293,2.7097,178.9365,96.0095
4761.5,83.5489,0.9639,0.9237,43.88,6.3102,6.684,2.587,171.1858,92.2882
4762.0,81.5862,1.0798,1.0025,43.65,6.301,6.6713,2.6128,192.7864,95.8064
4762.5,88.3398,0.9525,0.9027,40.88,6.1427,6.5225,2.4282,197.6869,103.656
4763.0,96.9245,0.7962,0.7951,41.51,5.9279,6.4329,2.6042,194.4715,99.0681
